"YEAR","SITE_ID","males","fems","femsWEggs","femsWValidEggCode","propMales","propFems","propEgg"
"1992","1","379","152","142","152",0.71,0.28,0.26
"1992","2","224","119","116","119",0.65,0.34,0.33
"1992","3","575","24","23","23",0.95,0.04,0.04
"1992","4","714","46","44","45",0.93,0.06,0.05
"1992","5","760","60","58","60",0.92,0.07,0.07
"1992","6","659","27","26","27",0.96,0.03,0.03
"1992","7","530","101","100","101",0.83,0.16,0.15
"1992","8","380","34","34","34",0.91,0.08,0.08
"1993","1","233","146","141","146",0.61,0.38,0.37
"1993","2","292","130","130","130",0.69,0.30,0.30
"1993","3","441","67","65","67",0.86,0.13,0.12
"1993","4","491","28","28","28",0.94,0.05,0.05
"1993","5","109","42","42","42",0.72,0.27,0.27
"1993","6","86","8","7","8",0.91,0.08,0.07
"1993","7","159","35","32","35",0.81,0.18,0.16
"1993","8","149","16","16","16",0.90,0.09,0.09
"1994","1","308","33","33","33",0.90,0.09,0.09
"1994","2","459","44","44","44",0.91,0.08,0.08
"1994","3","229","12","12","12",0.95,0.04,0.04
"1994","4","732","13","13","13",0.98,0.01,0.01
"1994","5","399","14","10","14",0.96,0.03,0.02
"1994","6","291","7","6","7",0.97,0.02,0.02
"1994","7","644","19","19","19",0.97,0.02,0.02
"1994","8","806","59","55","59",0.93,0.06,0.06
"1995","1","573","46",,,0.92,0.07,
"1995","2","347","30",,,0.92,0.07,
"1995","3","888","38",,,0.95,0.04,
"1995","4","761","14",,,0.98,0.01,
"1995","5","334","3",,,0.99,8.90207715133531e-03,
"1995","6","374","6",,,0.98,0.01,
"1995","7","552","41",,,0.93,0.06,
"1995","8","1002","39",,,0.96,0.03,
"1997","1","302","61",,,0.83,0.16,
"1997","2","142","30",,,0.82,0.17,
"1997","3","522","13",,,0.97,0.02,
"1997","4","696","31",,,0.95,0.04,
"1997","5","436","25",,,0.94,0.05,
"1997","6","748","11",,,0.98,0.01,
"1997","7","132","29",,,0.81,0.18,
"1997","8","606","24",,,0.96,0.03,
"1998","1","162","27","27","27",0.85,0.14,0.14
"1998","2","83","23","22","23",0.78,0.21,0.20
"1998","3","557","19","19","19",0.96,0.03,0.03
"1998","4","920","27","27","27",0.97,0.02,0.02
"1998","5","190","4","4","4",0.97,0.02,0.02
"1998","7","218","21","21","21",0.91,0.08,0.08
"1999","1","220","19","19","19",0.92,0.07,0.07
"1999","2","501","36","34","36",0.93,0.06,0.06
"1999","3","669","34","33","34",0.95,0.04,0.04
"1999","4","759","56","54","56",0.93,0.06,0.06
"1999","5","390","13","13","13",0.96,0.03,0.03
"1999","6","362","8","8","8",0.97,0.02,0.02
"1999","7","548","45","45","45",0.92,0.07,0.07
"1999","8","260","13","13","13",0.95,0.04,0.04
"2000","1","319","31","31","31",0.91,0.08,0.08
"2000","2","1106","40","39","40",0.96,0.03,0.03
"2000","3","847","46","46","46",0.94,0.05,0.05
"2000","4","705","26","26","26",0.96,0.03,0.03
"2000","5","609","11","9","11",0.98,0.01,0.01
"2000","6","808","46","43","46",0.94,0.05,0.05
"2000","7","1116","99","96","99",0.91,0.08,0.07
"2000","8","714","19","18","18",0.97,0.02,0.02
"2001","1","683","116","102","104",0.85,0.14,0.14
"2001","2","1421","116","114","114",0.92,0.07,0.07
"2001","3","948","83","82","82",0.91,0.08,0.08
"2001","4","691","31","28","28",0.95,0.04,0.04
"2001","5","502","25","25","25",0.95,0.04,0.04
"2001","6","1101","39","39","39",0.96,0.03,0.03
"2001","7","500","67","67","67",0.88,0.11,0.11
"2001","8","674","36","36","36",0.94,0.05,0.05
"2002","1","463","63","60","63",0.88,0.11,0.11
"2002","2","2256","239","238","238",0.90,0.09,0.09
"2002","3","1363","173","168","172",0.88,0.11,0.11
"2002","4","2173","69","66","68",0.96,0.03,0.02
"2002","5","612","49","47","49",0.92,0.07,0.07
"2002","7","627","128","128","128",0.83,0.16,0.16
"2002","8","331","55","54","55",0.85,0.14,0.13
"2003","1","630","27","27","27",0.95,0.04,0.04
"2003","2","1941","352","351","351",0.84,0.15,0.15
"2003","3","1365","91","90","90",0.93,0.06,0.06
"2003","4","1454","51","51","51",0.96,0.03,0.03
"2003","5","453","20","19","20",0.95,0.04,0.04
"2003","6","1288","74","72","72",0.94,0.05,0.05
"2003","7","939","119","118","119",0.88,0.11,0.11
"2003","8","515","14","14","14",0.97,0.02,0.02
"2004","1","2595","254","249","254",0.91,0.08,0.08
"2004","2","2701","444","436","444",0.85,0.14,0.13
"2004","3","585","60","54","60",0.90,0.09,0.08
"2004","4","2696","82","80","82",0.97,0.02,0.02
"2004","5","560","13","12","13",0.97,0.02,0.02
"2004","6","749","33","31","33",0.95,0.04,0.03
"2004","7","1203","148","143","148",0.89,0.10,0.10
"2004","8","436","34","34","34",0.92,0.07,0.07
"2005","1","1297","255","237","255",0.83,0.16,0.15
"2005","2","5194","125","123","125",0.97,0.02,0.02
"2005","3","1395","108","102","108",0.92,0.07,0.06
"2005","4","1882","53","51","53",0.97,0.02,0.02
"2005","5","1031","12","11","11",0.98,0.01,0.01
"2005","6","868","46","42","46",0.94,0.05,0.04
"2005","7","1992","123","118","123",0.94,0.05,0.05
"2005","8","352","15","15","15",0.95,0.04,0.04
"2006","1","148","66","60","66",0.69,0.30,0.28
"2006","2","273","18","18","18",0.93,0.06,0.06
"2006","3","92","4","2","4",0.95,0.04,0.02
"2006","4","152","3","1","1",0.98,0.01,0.01
"2006","5","87","1",,,0.98,0.01,
"2006","6","9","1","1","1",0.90,0.10,0.10
"2006","7","269","4","4","4",0.98,0.01,0.01
"2006","8","55","2","2","2",0.96,0.03,0.03
"2007","1","231","66","51","66",0.77,0.22,0.17
"2007","2","753","18","17","18",0.97,0.02,0.02
"2007","3","224","12","12","12",0.94,0.05,0.05
"2007","4","317","5","4","5",0.98,0.01,0.01
"2007","5","171","10","8","10",0.94,0.05,0.04
"2007","6","22","4","4","4",0.84,0.15,0.15
"2007","7","292","10","10","10",0.96,0.03,0.03
"2007","8","88","4","2","4",0.95,0.04,0.02
"2008","1","184","61","48","61",0.75,0.24,0.19
"2008","2","813","51","41","51",0.94,0.05,0.04
"2008","3","117","4","4","4",0.96,0.03,0.03
"2008","4","373","8","6","8",0.97,0.02,0.01
"2008","5","121","1","1","1",0.99,8.19672131147541e-03,8.19672131147541e-03
"2008","6","9",,,,,,
"2008","7","427","31","27","31",0.93,0.06,0.05
"2008","8","171","1",,,0.99,5.81395348837209e-03,
"2009","1","272","84","75","84",0.76,0.23,0.21
"2009","2","351","36","32","36",0.90,0.09,0.08
"2009","3","210","30","28","30",0.87,0.12,0.11
"2009","4","196","21","20","21",0.90,0.09,0.09
"2009","5","153","8","7","8",0.95,0.04,0.04
"2009","7","203","56","46","56",0.78,0.21,0.17
"2009","8","110","3","2","3",0.97,0.02,0.01
"2009","9","18","4","3","4",0.81,0.18,0.13
"2010","1","143","30","25","30",0.82,0.17,0.14
"2010","2","138","32","32","32",0.81,0.18,0.18
"2010","3","229","38","35","38",0.85,0.14,0.13
"2010","4","110","31","30","31",0.78,0.21,0.21
"2010","5","35","6","5","6",0.85,0.14,0.12
"2010","7","80","23","22","23",0.77,0.22,0.21
"2010","8","38","9","8","9",0.80,0.19,0.17
"2010","9","53","15","15","15",0.77,0.22,0.22
"2011","1","279","124","122","124",0.69,0.30,0.30
"2011","2","273","117","117","117",0.70,0.30,0.30
"2011","3","171","20","19","20",0.89,0.10,0.09
"2011","4","99","16","16","16",0.86,0.13,0.13
"2011","5","19","2","2","2",0.90,0.09,0.09
"2011","7","79","31","31","31",0.71,0.28,0.28
"2011","8","12","1","1","1",0.92,0.07,0.07
"2011","9","25","11","11","11",0.69,0.30,0.30
"2012","1","219","84","71","84",0.72,0.27,0.23
"2012","10","68","8","8","8",0.89,0.10,0.10
"2012","2","102","76","73","76",0.57,0.42,0.41
"2012","3","174","8","7","8",0.95,0.04,0.03
"2012","4","249","17","14","17",0.93,0.06,0.05
"2012","5","191","7","7","7",0.96,0.03,0.03
"2012","7","190","21","19","21",0.90,0.09,0.09
"2012","8","193","26","25","26",0.88,0.11,0.11
"2012","9",,"3","3","3",,,
"2013","1","84","66","46","66",0.56,0.44,0.30
"2013","10","102","7","7","7",0.93,0.06,0.06
"2013","2","410","52","52","52",0.88,0.11,0.11
"2013","3","206","16","16","16",0.92,0.07,0.07
"2013","4","102","9","9","9",0.91,0.08,0.08
"2013","5","50","4","4","4",0.92,0.07,0.07
"2013","7","112","22","21","22",0.83,0.16,0.15
"2013","8","87","10","10","10",0.89,0.10,0.10
"2013","9","8","8","4","8",0.50,0.50,0.25
"2014","1","165","63","62","63",0.72,0.27,0.27
"2014","10","170","9","7","9",0.94,0.05,0.03
"2014","2","404","7","7","7",0.98,0.01,0.01
"2014","3","223","29","18","18",0.88,0.11,0.11
"2014","4","90","7","7","7",0.92,0.07,0.07
"2014","5","135","7","5","5",0.95,0.04,0.04
"2014","7","71","15","12","15",0.82,0.17,0.13
"2014","8","37","3","1","3",0.92,0.07,0.02
"2014","9","5","18","16","18",0.21,0.78,0.69
"2015","1","116","31","30","31",0.78,0.21,0.20
"2015","10","285","17","17","17",0.94,0.05,0.05
"2015","2","374","12","12","12",0.96,0.03,0.03
"2015","3","153","14","13","14",0.91,0.08,0.07
"2015","4","228","12","12","12",0.95,0.05,0.05
"2015","5","55","6","6","6",0.90,0.09,0.09
"2015","7","47","9","9","9",0.83,0.16,0.16
"2015","8","25","3","3","3",0.89,0.10,0.10
"2015","9","17","14","14","14",0.54,0.45,0.45
"2016","1","392","190","188","188",0.67,0.32,0.32
"2016","10","462","44","44","44",0.91,0.08,0.08
"2016","2","824","76","74","75",0.91,0.08,0.08
"2016","3","496","98","96","97",0.83,0.16,0.16
"2016","4","523","45","45","45",0.92,0.07,0.07
"2016","5","245","16","15","15",0.93,0.06,0.06
"2016","7","187","23","23","23",0.89,0.10,0.10
"2016","8","163","6","6","6",0.96,0.03,0.03
"2016","9","45","11","11","11",0.80,0.19,0.19
