Year,Pot_Count,Total_Spot_Count,Total_Spot_Wt_KG,Prop_Lg_by_Wt,AvgOfProp_Lg_by_Ct,Est_Wt_Large,Est_Ct_LG,CPUE_All_KG,CPUE_All_LB,CPUE_All_Count,CPUE_Large_KG,CPUE_Large_LB,CPUE_Large_Count
1992,305,4321,100.434,0.797478,0.662889,80.770645,2796.297551,0.329291,0.725956,14.167213,0.264821,0.583826,9.168188
1993,292,2340,52.904,0.677426,0.435214,38.608693,982.22736,0.181178,0.399425,8.013698,0.132221,0.291495,3.363792
1994,311,3821,62.285,0.447175,0.272876,29.022496,955.163027,0.200273,0.441522,12.286173,0.093319,0.205733,3.071263
1995,306,4673,88.306,0.57458,0.395705,52.239864,1810,0.288581,0.636207,15.271241,0.170718,0.376366,5.915032
1996,306,3807,68.954,,,,,0.225339,0.496784,12.441176,,,
1997,303,3057,55.368,0.580272,0.417753,30.617563,1013.097022,0.182732,0.402852,10.089108,0.101048,0.22277,3.343554
1998,264,2252,34.691,0.55053,0.346029,17.319216,571,0.131405,0.289696,8.530303,0.065603,0.144628,2.162878
1999,303,4015,69.424,0.47149,0.266051,33.231195,1032.083926,0.229122,0.505122,13.250825,0.109673,0.241787,3.406217
2000,305,5691,98.348,0.555965,0.353574,56.494236,1983,0.322452,0.710878,18.659016,0.185227,0.408351,6.501639
2001,307,5894,131.528,0.670103,0.514211,95.971104,3220,0.428429,0.944516,19.198697,0.312609,0.689178,10.488599
2002,304,8794,170.852,0.646789,0.387333,112.19762,3269.867308,0.562013,1.239014,28.927631,0.369071,0.813654,10.756142
2003,308,7971,160.279,0.666819,0.447775,116.428052,3804,0.520386,1.147243,25.87987,0.378013,0.833367,12.350649
2004,308,11811,215.903,0.567112,0.334029,128.966227,4009,0.700983,1.545388,38.347402,0.418721,0.923113,13.016233
2005,306,13559,202.979,0.456619,0.261816,93.814071,3347.21769,0.66333,1.462377,44.310457,0.306581,0.67589,10.938619
2006,304,13670,240.574999,0.458152,0.289801,123.547541,4196.760054,0.791365,1.744643,44.967105,0.406406,0.895963,13.805131
2007,306,23684,371.16,0.438904,0.280557,161.70741,5836.111878,1.212941,2.67405,77.398692,0.528455,1.165033,19.072261
2008,307,22701,396.3687,0.39051,0.267663,169.320615,5984.824738,1.291103,2.846366,73.944625,0.551532,1.215909,19.494543
2009,308,17353,361.9897,0.570836,0.400108,222.914091,7604.904725,1.175291,2.591047,56.340909,0.723747,1.595572,24.691249
2010,306,8190,199.625999,0.772995,0.635371,159.035256,5549.31519,0.652372,1.43822,26.764705,0.519723,1.145781,18.135016
2011,306,11135,288.579999,0.71848,0.501125,244.883793,7519.031039,0.943071,2.079096,36.388888,0.800273,1.764283,24.571996
2012,304,14055,336.619999,0.627411,0.453201,255.631793,7632.801464,1.107302,2.441159,46.233552,0.840894,1.853835,25.107899
2013,305,13538,315.44,0.694849,0.514967,227.958506,6822.291293,1.034229,2.280062,44.386885,0.747404,1.647728,22.368168
2014,306,14157,306.688,0.718314,0.569658,225.592842,7580.096334,1.002248,2.209556,46.264705,0.737231,1.6253,24.771556
2015,307,11584,231.9,0.661484,0.447641,150.12348,4497.14811,0.755374,1.665298,37.732899,0.489001,1.078052,14.64869
2016,140,9630,198.2,0.599133,0.39159,132.268804,4152.334234,1.415714,3.121083,68.785714,0.944777,2.082855,29.65953
2017,139,18206,295.28,0.473753,0.253368,119.894314,3265.609371,2.124316,4.683268,130.978417,0.862549,1.901575,23.493592
