"Year","Pot_Count","Total_Spot_Count","Total_Spot_Wt_KG","Prop_Lg_by_Wt","AvgOfProp_Lg_by_Ct","Est_Wt_Large","Est_Ct_LG","CPUE_All_KG","CPUE_All_LB","CPUE_All_Count","CPUE_Large_KG","CPUE_Large_LB","CPUE_Large_Count"
"1992",349.000000,5009.000000,112.962000,0.758263,0.622906,86.831089,3032.297551,0.323673,0.713570,14.352435,0.248799,0.548503,8.688531
"1993",325.000000,2434.000000,54.682000,0.651933,0.415386,39.450550,1008.227360,0.168252,0.370929,7.489230,0.121386,0.267608,3.102238
"1994",355.000000,4119.000000,65.811000,0.420851,0.252190,29.856684,987.163027,0.185383,0.408695,11.602816,0.084103,0.185414,2.780740
"1995",350.000000,5053.000000,93.550000,0.538805,0.365650,53.752123,1869.000000,0.267285,0.589258,14.437142,0.153577,0.338576,5.340000
"1996",350.000000,4618.000000,82.628000,0.000000,0.000000,0.000000,0.000000,0.236080,0.520461,13.194285,0.000000,0.000000,0.000000
"1997",345.000000,3816.000000,64.178000,0.542975,0.382351,33.101039,1115.213451,0.186023,0.410106,11.060869,0.095945,0.211520,3.232502
"1998",264.000000,2252.000000,34.691000,0.550530,0.346029,17.319216,571.000000,0.131405,0.289696,8.530303,0.065603,0.144628,2.162878
"1999",346.000000,4385.000000,74.422000,0.446943,0.251362,34.606215,1087.044138,0.215092,0.474192,12.673410,0.100017,0.220499,3.141746
"2000",349.000000,6545.000000,111.292000,0.539248,0.338505,61.959501,2182.000000,0.318888,0.703021,18.753581,0.177534,0.391392,6.252148
"2001",351.000000,7034.000000,150.067000,0.627517,0.475812,102.078227,3456.000000,0.427541,0.942557,20.039886,0.290821,0.641144,9.846153
"2002",304.000000,8794.000000,170.852000,0.646789,0.387333,112.197620,3269.867308,0.562013,1.239014,28.927631,0.369071,0.813654,10.756142
"2003",352.000000,9333.000000,180.422000,0.641749,0.421906,125.819911,4132.000000,0.512562,1.129995,26.514204,0.357442,0.788018,11.738636
"2004",352.000000,12593.000000,227.911000,0.540525,0.316572,133.222064,4161.000000,0.647474,1.427422,35.775568,0.378471,0.834378,11.821022
"2005",349.000000,14453.000000,218.191000,0.441699,0.253980,98.944398,3525.235196,0.625189,1.378291,41.412607,0.283508,0.625022,10.100960
"2006",346.000000,14133.000000,248.984999,0.487057,0.316076,129.345311,4428.260054,0.719609,1.586451,40.846820,0.373830,0.824146,12.798439
"2007",349.000000,24152.000000,379.911000,0.465530,0.298372,167.412307,6034.111878,1.088570,2.399861,69.203438,0.479691,1.057527,17.289718
"2008",348.000000,23004.000000,404.882500,0.401849,0.275872,173.417660,6085.824738,1.163455,2.564953,66.103448,0.498326,1.098610,17.488002
"2009",351.000000,17622.000000,374.037200,0.624481,0.475094,234.961591,7873.904725,1.065633,2.349294,50.205128,0.669406,1.475773,22.432776
"2010",350.000000,8585.000000,216.986199,0.801371,0.680950,176.395456,5944.315190,0.619960,1.366765,24.528571,0.503987,1.111089,16.983757
"2011",350.000000,11580.000000,309.899999,0.753670,0.563484,266.203793,7964.031039,0.885428,1.952015,33.085714,0.760582,1.676779,22.754374
"2012",392.000000,15928.000000,378.249999,0.661583,0.492841,283.800371,8279.696201,0.964923,2.127270,40.632653,0.723980,1.596087,21.121673
"2013",435.000000,16532.000000,384.929999,0.728602,0.558593,283.676072,8586.429797,0.884896,1.950842,38.004597,0.652128,1.437683,19.738919
"2014",436.000000,17412.000000,381.658000,0.749880,0.606172,285.416231,9295.495318,0.875362,1.929823,39.935779,0.654624,1.443184,21.319943
"2015",439.000000,15166.000000,331.890000,0.686252,0.480020,216.851015,5762.124447,0.756013,1.666707,34.546697,0.493965,1.088997,13.125568
"2016",180.000000,10982.000000,237.864000,0.650699,0.450229,162.529819,4795.442640,1.321466,2.913305,61.011111,0.902943,1.990629,26.641348
"2017",197.000000,24359.000000,388.600000,0.462053,0.241657,157.168486,4400.451126,1.972588,4.348769,123.649746,0.797809,1.758850,22.337315
