"","ShrimpArea","year","n","len","sd","se"
"1","1",1992,531,37.0142561205273,4.00817169565198,0.173939836027031
"2","1",1993,379,37.4140105540897,6.51336060821038,0.334568861354961
"3","1",1994,341,32.5450439882698,5.77958453736338,0.312982050137542
"4","1",1995,619,31.4603392568659,6.33621448203803,0.254673962312183
"5","1",1997,363,34.9078787878788,4.15280304280601,0.217965632241413
"6","1",1998,189,32.3058201058201,7.2822317269442,0.529704414554457
"7","1",1999,239,29.2174476987448,7.17797130321765,0.464304365753552
"8","1",2000,350,32.5976,5.76444799604788,0.308122706072668
"9","1",2001,799,35.1560200250313,5.34837203156901,0.189211800945682
"10","1",2002,526,31.3086311787072,6.69501938749619,0.291916717506861
"11","1",2003,657,31.3272754946728,5.48136477452149,0.213848407136818
"12","1",2004,2849,32.788416988417,4.64246574445295,0.086976611333542
"13","1",2005,904,34.0499778761062,6.14479761770249,0.204372928699206
"14","1",2006,214,34.7798126168224,4.53960692018531,0.310321140486245
"15","1",2007,297,33.3201678383838,5.18666118529643,0.300960607124268
"16","1",2008,245,34.6858770693878,4.76035673210969,0.304128035718458
"17","1",2009,378,34.4811106455026,4.89805950922687,0.251928996862462
"18","1",2010,241,36.3936929460581,4.65614075410009,0.299928392020853
"19","1",2011,439,36.5122095671982,5.44216523621476,0.259740375273655
"20","1",2012,382,36.2355230968586,5.73768795498009,0.293565654281324
"21","1",2013,275,34.6681812727273,7.39530274852065,0.445953535053218
"22","1",2014,430,33.7133953488372,8.10603301222715,0.390907623642295
"23","1",2015,480,32.461875,8.32563933767264,0.380011705907973
"24","1",2016,1144,33.402972027972,8.05524644928986,0.238158353910607
"25","2",1992,1702,31.8289012925969,6.02246839758355,0.14598046808466
"26","2",1993,1449,29.1525741890959,7.70920006716677,0.202523359890443
"27","2",1994,1489,28.3124781732707,5.59157346257077,0.144906106065622
"28","2",1995,2078,29.0393118383061,5.58388499608115,0.122493683224734
"29","2",1997,1434,28.4836052998605,5.59237235116067,0.147679938973419
"30","2",1998,1629,27.8310435850215,5.60902889773423,0.138971944860568
"31","2",1999,2055,29.1323532846715,5.56781207063442,0.122822704206371
"32","2",2000,2770,28.9953682310469,5.90092804382543,0.112119314635016
"33","2",2001,3290,31.5823221884498,5.93896254831966,0.103541067356309
"34","2",2002,6273,29.4569950581859,7.01354882813799,0.0885523683793288
"35","2",2003,5254,30.9925656642558,7.3456194920145,0.101340581884217
"36","2",2004,6568,28.9549573690621,6.89296216167443,0.0850529384498731
"37","2",2005,4523,28.4472407694008,6.19071098965643,0.092050729745408
"38","2",2006,542,28.2400364594096,6.88227956076293,0.295619219875138
"39","2",2007,1329,27.5250183528969,4.29371872059275,0.117779878003757
"40","2",2008,1366,28.8097432767204,4.20262205689588,0.113709038135348
"41","2",2009,844,30.8604971267773,5.35190591006385,0.18422019867467
"42","2",2010,578,32.8662629757785,5.73262890746377,0.238445927911392
"43","2",2011,696,32.8586206896552,7.75356123106217,0.293897980001873
"44","2",2012,626,30.5512614440895,7.2630830548404,0.2902911820669
"45","2",2013,795,30.4145026603774,6.4850041195237,0.229999394120721
"46","2",2014,760,30.2250921052632,5.35819449188337,0.194362142366583
"47","2",2015,793,29.0212232030265,5.54819411805158,0.197022149975098
"48","2",2016,2062,30.3756304558681,6.35992123555539,0.14005783432429
"49","3",1992,2551,33.2585339082713,5.25543355487748,0.104052691944017
"50","3",1993,604,30.6794867549669,7.24358225022293,0.294737181769552
"51","3",1994,2239,27.675011165699,5.2587176175054,0.111135499021554
"52","3",1995,2351,30.0049680986814,5.54153485814971,0.114288821607372
"53","3",1997,2011,28.0713973147688,5.58208524730961,0.124477377294415
"54","3",1998,433,29.8735565819861,6.11045751357029,0.293649848143037
"55","3",1999,1633,28.5519412124923,5.49083162666862,0.135876713581044
"56","3",2000,3422,29.1982554061952,5.79208404269705,0.0990136002407332
"57","3",2001,2944,30.9789911684783,5.19769487133067,0.0957947874156587
"58","3",2002,1802,31.0598557158713,7.32677598933029,0.172597905105308
"59","3",2003,3392,30.2888502358491,6.96499760230356,0.11958949981921
"60","3",2004,3176,29.9092915617128,6.89721092794552,0.122386428338642
"61","3",2005,2381,30.147492650147,6.12910631795319,0.125608045284624
"62","3",2006,428,27.6160509135514,4.86712394016185,0.235261315483108
"63","3",2007,601,29.928219234609,5.10984242274555,0.208434819992186
"64","3",2008,761,30.7286986070959,4.32904224802078,0.156927658891068
"65","3",2009,533,31.9462471801126,5.09013531763776,0.220478234906046
"66","3",2010,191,34.5028272251309,4.7426509760384,0.343166180802671
"67","3",2011,144,32.9254166666667,6.75214991661941,0.562679159718284
"68","3",2012,628,30.5571333041401,6.05951860725949,0.241801116332066
"69","3",2013,285,33.2293679122807,6.25510845836911,0.370520647557635
"70","3",2014,268,32.9515671641791,5.44055066535443,0.332334525889339
"71","3",2015,145,30.8483448275862,7.25988712930636,0.602900810337238
"72","3",2016,640,30.27696875,6.65167882363023,0.262930691832262
