"","year","1_s","2_s","3_s","1_h","2_h","3_h"
"1",1992,0.86036577255814,0.619363586717557,0.748033864914286,NA,NA,NA
"2",1993,0.689789708837209,0.475417823692308,0.191366817631579,NA,NA,NA
"3",1994,0.39753307,0.41196331,0.409037066033519,NA,NA,NA
"4",1995,0.6684007,0.609831809230769,0.5542865625,NA,NA,NA
"5",1996,0.57841212,0.530455132824427,0.4984204896,NA,NA,NA
"6",1997,0.50335483,0.400483001875,0.393518298265896,NA,NA,NA
"7",1998,0.21655381,0.37989611,0.1909752075,NA,NA,NA
"8",1999,0.22507166,0.730034475076923,0.344561597906977,NA,NA,NA
"9",2000,0.39653097,0.773736826923077,0.727562393485714,NA,NA,NA
"10",2001,1.14119148,1.18707848045802,0.7109147925,NA,NA,NA
"11",2002,0.768460385,1.99448040682171,0.653156540610687,NA,NA,NA
"12",2003,0.61188226,1.74776261,0.796218555,NA,NA,NA
"13",2004,3.116781525,1.82084910333333,0.710037955,NA,NA,NA
"14",2005,1.65566962,1.92241193833333,0.89260348716763,NA,NA,NA
"15",2006,2.84553447608048,1.84436501659667,1.08109691564395,NA,NA,NA
"16",2007,3.5796876372093,3.22867437092183,1.48957982291863,NA,NA,NA
"17",2008,3.458667931895,3.16689485913167,1.87442173210907,NA,NA,NA
"18",2009,2.78531181456759,2.665417296465,1.74585357609667,NA,NA,NA
"19",2010,1.874498146895,1.63275339215492,0.766350931096667,2.50063578363384,NA,NA
"20",2011,3.63660933092828,2.18812738924244,0.607439583263333,NA,1.73433739012847,NA
"21",2012,2.94149749993,2.3216869968276,1.11543672820901,NA,NA,0.905052433312971
"22",2013,1.79473024919523,2.54709336172626,1.3530644548913,1.69755487874957,NA,NA
"23",2014,1.98112875114504,2.73440196641221,1.02839632793893,NA,1.55960952543447,NA
"24",2015,1.8378514,2.4836474778626,0.463638266666667,NA,NA,1.04563578018452
"25",2016,3.45478651466667,4.11896503333333,1.16624398,1.74422880116959,NA,NA
"26",2017,3.85735012666667,6.82236473898305,2.56066613,NA,1.42574086407287,NA
