"","Year","Pots","all_lb","all_cnt","all_cpue_lb","all_cpue_cnt","lrg_lb","lrg_cnt","lrg_cpue_lb","lrg_cpue_cnt"
"1",1992,349,249.0338752,5009,0.71,14.35,191.4271546,3032.3,0.55,8.69
"2",1993,325,120.5486216,2434,0.37,7.49,86.972259,1008.23,0.27,3.1
"3",1994,355,145.3065042,4128,0.41,11.63,65.9401842,989.98,0.19,2.79
"4",1995,350,206.242201,5053,0.59,14.44,118.498325,1869,0.34,5.34
"5",1996,350,182.1677506,4618,0.52,13.19,NA,NA,NA,NA
"6",1997,345,142.4625444,3835,0.41,11.12,73.2815688,1117.42,0.21,3.24
"7",1998,264,76.4782678,2252,0.29,8.53,38.1840184,571,0.14,2.16
"8",1999,346,164.5087444,4392,0.48,12.69,76.4121292,1088.08,0.22,3.14
"9",2000,349,245.3521598,6545,0.7,18.75,136.5982552,2182,0.39,6.25
"10",2001,351,330.8473234,7034,0.94,20.04,225.0476096,3456,0.64,9.85
"11",2002,304,376.7034194,8797,1.24,28.94,247.3804102,3270.33,0.81,10.76
"12",2003,352,397.7575404,9333,1.13,26.51,277.3852884,4132,0.79,11.74
"13",2004,352,502.4549442,12593,1.43,35.78,293.6994764,4161,0.83,11.82
"14",2005,349,481.0260378,14453,1.38,41.41,218.1251028,3525.24,0.63,10.1
"15",2006,346,552.4998182,14203,1.6,41.05,288.143834,4478.96,0.83,12.94
"16",2007,349,837.5571842,24152,2.4,69.2,369.0754342,6034.11,1.06,17.29
"17",2008,348,892.6065456,23004,2.56,66.1,382.3252004,6085.82,1.1,17.49
"18",2009,351,824.6160648,17622,2.35,50.21,517.9975152,7873.9,1.48,22.43
"19",2010,350,478.3804938,8585,1.37,24.53,388.894968,5944.32,1.11,16.98
"20",2011,350,686.6068528,11627,1.96,33.22,589.9122196,8003.66,1.69,22.87
"21",2012,392,833.897515,15928,2.13,40.63,625.671156,8279.7,1.6,21.12
"22",2013,392,744.2356196,14453,1.9,36.87,536.4281384,7176.01,1.37,18.31
"23",2014,393,752.4588522,16051,1.91,40.84,548.9724262,8206.7,1.4,20.88
"24",2015,395,629.1544556,14118,1.59,35.74,400.358992,5249.12,1.01,13.29
"25",2016,359,986.3249418,19821,2.75,55.21,711.1222272,9199.19,1.98,25.62
"26",2017,359,1412.6984498,37722,3.94,105.08,689.2523968,8640.51,1.92,24.07
